nohup: ignoring input
nohup: ignoring input
SGCN!

use cuda: True
Namespace(name='cora', k=None, lr=0.0005, n_clusters=7, n_z=10, cuda=True, pretrain_path='data/cora.pkl', n_input=1433)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1433, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1433, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
22Z :acc 0.5583 , nmi 0.3305 , ari 0.3083 , f1 0.4133
22P :acc 0.5162 , nmi 0.2664 , ari 0.2380 , f1 0.4529


23Q :acc 0.5159 , nmi 0.2654 , ari 0.2376 , f1 0.4506
23Z :acc 0.5643 , nmi 0.3342 , ari 0.3140 , f1 0.4226
23P :acc 0.5155 , nmi 0.2653 , ari 0.2370 , f1 0.4520


24Q :acc 0.5155 , nmi 0.2648 , ari 0.2370 , f1 0.4502
24Z :acc 0.5676 , nmi 0.3345 , ari 0.3141 , f1 0.4293
24P :acc 0.5159 , nmi 0.2655 , ari 0.2368 , f1 0.4527


25Q :acc 0.5166 , nmi 0.2645 , ari 0.2371 , f1 0.4515
25Z :acc 0.5750 , nmi 0.3454 , ari 0.3197 , f1 0.4406
25P :acc 0.5155 , nmi 0.2650 , ari 0.2366 , f1 0.4522


26Q :acc 0.5155 , nmi 0.2630 , ari 0.2357 , f1 0.4497
26Z :acc 0.5724 , nmi 0.3458 , ari 0.3163 , f1 0.4386
26P :acc 0.5148 , nmi 0.2637 , ari 0.2356 , f1 0.4507


27Q :acc 0.5151 , nmi 0.2622 , ari 0.2354 , f1 0.4488
27Z :acc 0.5724 , nmi 0.3485 , ari 0.3138 , f1 0.4393
27P :acc 0.5151 , nmi 0.2629 , ari 0.2355 , f1 0.4502


28Q :acc 0.5151 , nmi 0.2619 , ari 0.2355 , f1 0.4482
28Z :acc 0.5709 , nmi 0.3475 , ari 0.3079 , f1 0.4373
28P :acc 0.5148 , nmi 0.2622 , ari 0.2350 , f1 0.4495


29Q :acc 0.5151 , nmi 0.2618 , ari 0.2354 , f1 0.4480
